"Accept","Akzeptieren"
"Additional CSS.","Zusätzliches CSS."
"Additional Javascript.","Zusätzliches Javascript."
"Below a list of things that I expect to implement in the next version of GDPL module:","Nachfolgend eine Liste der Dinge, die ich in der nächsten Version dieses Moduls voraussichtlich implementieren werde:<br>
                     - Kundenoption zum Löschen eines eigenen Kontos erstellen<br>
                     - Lassen Sie die Zeit/Verzögerung konfigurierbar, um die Meldung anzuzeigen<br>
                     - Machen Sie die Schaltfläche zum Akzeptieren von Bedingungen konfigurierbar<br><br>
                     Wenn Sie eine andere Idee haben, kontaktieren Sie mich bitte unter <a href='https://de.mariosam.eu/kontakt/' target='_blank'>Mario SAM</a>.<br>
                     Wenn Ihnen dieses KOSTENLOSE Modul gefallen hat, können Sie mir auch mit einer Spende in <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a> helfen. Dankeschön!"
"Bottom Line","Endeffekt"
"Cookie Lifetime","Cookie-Lebensdauer"
"Custom CSS","Benutzerdefinierte CSS"
"Custom Javascript","Benutzerdefinierte Javascript"
"Enable","Aktivieren"
"Expected for the next versions","Wird für die nächsten Versionen erwartet"
"GDPL Settings","GDPR-Einstellungen"
"Header Line","Kopfzeile"
"How to use GDPL? Access the Mario SAM blog and read the post.","Wie benutzt man? Greifen Sie auf den <a href='https://de.mariosam.eu' target='_blank'>Mario SAM-Blog</a> zu und lesen Sie den Beitrag."
"In seconds. ex.: 3600 (1 hour); 86400 (1 day); 604800 (1 week).","In Sekunden. Beispiel: 3600 (1 Stunde); 86400 (1 Tag); 604800 (1 Woche)."
"LGPD Settings","GDPR-Einstellungen"
"Message Alert","Nachrichtenalarm"
"No","Nein"
"Screen Position","Bildschirmposition"
"User Frontend Message","Benutzer-Frontend-Nachricht"
"Where do you want to show this message?","Wo möchten Sie diese Nachricht anzeigen?"
"Yes","Ja"
"You can customize this message.","Sie können diese Nachricht anpassen."
