"Accept","Accettare"
"Additional CSS.","CSS Aggiuntivo."
"Additional Javascript.","Javascript Aggiuntivo."
"Below a list of things that I expect to implement in the next version of GDPL module:","Di seguito un elenco di cose che mi aspetto di implementare nella prossima versione di questo modulo:<br>
                     - creare l'opzione cliente per eliminare il proprio account<br>
                     - lasciare configurabile il tempo/ritardo per visualizzare il messaggio<br>
                     - rendere configurabile il pulsante di accettazione dei termini<br><br>
                     Se hai altre idee, contattami su <a href='https://it.mariosam.eu/contatto/' target='_blank'>Mario SAM</a>.<br>
                     Se ti è piaciuto questo modulo GRATUITO, puoi anche aiutarmi con una donazione in <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a>. Grazie!"
"Bottom Line","Linea di Fondo"
"Cookie Lifetime","Durata dei Cookie"
"Custom CSS","CSS Personalizzato"
"Custom Javascript","Javascript Personalizzato"
"Enable","Abilitare"
"Expected for the next versions","Previsto per le prossime versioni"
"GDPL Settings","Impostazioni GDPR"
"Header Line","Riga di Intestazione"
"How to use GDPL? Access the Mario SAM blog and read the post.","Come usare? Accedi al blog di <a href='https://it.mariosam.eu' target='_blank'>Mario SAM</a> e leggi il post."
"In seconds. ex.: 3600 (1 hour); 86400 (1 day); 604800 (1 week).","In secondi. es.: 3600 (1 ora); 86400 (1 giorno); 604800 (1 settimana)."
"LGPD Settings","Impostazioni GDPR"
"Message Alert","Avviso Messaggio"
"No","No"
"Screen Position","Posizione Dello Schermo"
"User Frontend Message","Messaggio Frontend Utente"
"Where do you want to show this message?","Dove vuoi mostrare questo messaggio?"
"Yes","Sì"
"You can customize this message.","Puoi personalizzare questo messaggio."
